"","player_id","last_name","first_name","bats","pitches","team","x7","year"
"1","abreb001","Abreu","Bobby","L","R","ANA","DH",2011
"2","amara001","Amarista","Alexi","L","R","ANA","2B",2011
"3","aybae001","Aybar","Erick","B","R","ANA","SS",2011
"4","bellt002","Bell","Trevor","L","R","ANA","P",2011
"5","bourp001","Bourjos","Peter","R","R","ANA","OF",2011
"6","branr001","Branyan","Russell","L","R","ANA","DH",2011
"7","bulgj001","Bulger","Jason","R","R","ANA","P",2011
"8","calla001","Callaspo","Alberto","B","R","ANA","3B",2011
"9","cassb001","Cassevah","Bobby","R","R","ANA","P",2011
"10","chatt001","Chatwood","Tyler","R","R","ANA","P",2011
"11","congh001","Conger","Hank","B","R","ANA","C",2011
"12","downs001","Downs","Scott","L","L","ANA","P",2011
"13","hared001","Haren","Dan","R","R","ANA","P",2011
"14","huntt001","Hunter","Torii","R","R","ANA","OF",2011
"15","iztum001","Izturis","Maicer","B","R","ANA","2B",2011
"16","jepsk001","Jepsen","Kevin","R","R","ANA","P",2011
"17","kazms001","Kazmir","Scott","L","L","ANA","P",2011
"18","kendh001","Kendrick","Howie","R","R","ANA","2B",2011
"19","kohnm001","Kohn","Michael","R","R","ANA","P",2011
"20","mathj001","Mathis","Jeff","R","R","ANA","C",2011
"21","moorj001","Moore","Jeremy","L","R","ANA","OF",2011
"22","navae001","Navarro","Efren","L","L","ANA","1B",2011
"23","palmm001","Palmer","Matt","R","R","ANA","P",2011
"24","pettc001","Pettit","Chris","R","R","ANA","PR",2011
"25","pinej001","Pineiro","Joel","R","R","ANA","P",2011
"26","ramih002","Ramirez","Horacio","L","L","ANA","P",2011
"27","richg002","Richards","Garrett","R","R","ANA","P",2011
"28","rodnf001","Rodney","Fernando","R","R","ANA","P",2011
"29","rodrf005","Rodriguez","Francisco","R","R","ANA","P",2011
"30","romia001","Romine","Andrew","B","R","ANA","SS",2011
"31","sante001","Santana","Ervin","R","R","ANA","P",2011
"32","takah001","Takahashi","Hisanori","L","L","ANA","P",2011
"33","thomr006","Thompson","Rich","R","R","ANA","P",2011
"34","troum001","Trout","Mike","R","R","ANA","OF",2011
"35","trumm001","Trumbo","Mark","R","R","ANA","1B",2011
"36","velag002","Velazquez","Gil","R","R","ANA","2B",2011
"37","waldj001","Walden","Jordan","R","R","ANA","P",2011
"38","weavj003","Weaver","Jered","R","R","ANA","P",2011
"39","wellv001","Wells","Vernon","R","R","ANA","OF",2011
"40","willj003","Williams","Jerome","R","R","ANA","P",2011
