"","player_id","last_name","first_name","bats","pitches","team","x7","year"
"1","abreb001","Abreu","Bobby","L","R","ANA","OF",2010
"2","aldrc001","Aldridge","Cory","L","R","ANA","OF",2010
"3","aybae001","Aybar","Erick","B","R","ANA","SS",2010
"4","bellt002","Bell","Trevor","L","R","ANA","P",2010
"5","bourp001","Bourjos","Peter","R","R","ANA","OF",2010
"6","buddr001","Budde","Ryan","R","R","ANA","C",2010
"7","bulgj001","Bulger","Jason","R","R","ANA","P",2010
"8","calla001","Callaspo","Alberto","B","R","ANA","3B",2010
"9","cassb001","Cassevah","Bobby","R","R","ANA","P",2010
"10","congh001","Conger","Hank","B","R","ANA","C",2010
"11","evant002","Evans","Terry","R","R","ANA","OF",2010
"12","frank001","Frandsen","Kevin","R","R","ANA","3B",2010
"13","fuenb001","Fuentes","Brian","L","L","ANA","P",2010
"14","hared001","Haren","Dan","R","R","ANA","P",2010
"15","huntt001","Hunter","Torii","R","R","ANA","OF",2010
"16","iztum001","Izturis","Maicer","B","R","ANA","3B",2010
"17","jepsk001","Jepsen","Kevin","R","R","ANA","P",2010
"18","kazms001","Kazmir","Scott","L","L","ANA","P",2010
"19","kendh001","Kendrick","Howie","R","R","ANA","2B",2010
"20","kohnm001","Kohn","Michael","R","R","ANA","P",2010
"21","mathj001","Mathis","Jeff","R","R","ANA","C",2010
"22","matsh001","Matsui","Hideki","L","R","ANA","DH",2010
"23","mcanp001","McAnulty","Paul","L","R","ANA","1B",2010
"24","morak001","Morales","Kendrys","B","R","ANA","1B",2010
"25","napom001","Napoli","Mike","R","R","ANA","1B",2010
"26","osuls001","O'Sullivan","Sean","R","R","ANA","P",2010
"27","palmm001","Palmer","Matt","R","R","ANA","P",2010
"28","pinej001","Pineiro","Joel","R","R","ANA","P",2010
"29","quinr002","Quinlan","Robb","R","R","ANA","1B",2010
"30","rivej001","Rivera","Juan","R","R","ANA","OF",2010
"31","rodnf001","Rodney","Fernando","R","R","ANA","P",2010
"32","rodrf005","Rodriguez","Francisco","R","R","ANA","P",2010
"33","rodrr006","Rodriguez","Rafael","R","R","ANA","P",2010
"34","romia001","Romine","Andrew","B","R","ANA","SS",2010
"35","ryanm001","Ryan","Mike","L","R","ANA","OF",2010
"36","sante001","Santana","Ervin","R","R","ANA","P",2010
"37","saunj001","Saunders","Joe","L","L","ANA","P",2010
"38","shies002","Shields","Scot","R","R","ANA","P",2010
"39","stokb001","Stokes","Brian","R","R","ANA","P",2010
"40","thomr006","Thompson","Rich","R","R","ANA","P",2010
"41","trumm001","Trumbo","Mark","R","R","ANA","1B",2010
"42","waldj001","Walden","Jordan","R","R","ANA","P",2010
"43","weavj003","Weaver","Jered","R","R","ANA","P",2010
"44","willr004","Willits","Reggie","B","R","ANA","OF",2010
"45","wilsb002","Wilson","Bobby","R","R","ANA","C",2010
"46","woodb003","Wood","Brandon","R","R","ANA","3B",2010
"47","abret001","Abreu","Tony","B","R","ARI","3B",2010
"48","alleb001","Allen","Brandon","L","R","ARI","OF",2010
"49","bensk001","Benson","Kris","R","R","ARI","P",2010
"50","boyeb001","Boyer","Blaine","R","R","ARI","P",2010
"51","buckb002","Buckner","Billy","R","R","ARI","P",2010
"52","carrd001","Carrasco","D.J.","R","R","ARI","P",2010
